country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
ESP,COUNTRY,2019,29.76334,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
CZE,COUNTRY,2019,5.10144,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
LKA,COUNTRY,2019,44.63716,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
145,UNREGION,2019,0.5335,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE068
LBY,COUNTRY,2019,2.58138,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
30,UNREGION,2019,0.30076,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE45-49,ENVCAUSE,ENVCAUSE_ENVCAUSE068
KGZ,COUNTRY,2019,2.25032,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
RUS,COUNTRY,2019,76.63566,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
GLOBAL,GLOBAL,2019,0.13002,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE114
AMR,REGION,2019,0.79454,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE113
BRB,COUNTRY,2019,7.96539,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
34,UNREGION,2019,4.36998,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE118
CHL,COUNTRY,2019,1.37571,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,
PRK,COUNTRY,2019,22.38595,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
UNSDG_LAC,UNSDGREGION,2019,1.09013,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE65-69,ENVCAUSE,ENVCAUSE_ENVCAUSE113
UNSDG_LAC,UNSDGREGION,2019,0.01831,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE10-14,ENVCAUSE,ENVCAUSE_ENVCAUSE039
UNSDG_OCEANIAexAUSNZL,UNSDGREGION,2019,0.30645,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE039
TTO,COUNTRY,2019,0.3135,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,
30,UNREGION,2019,0.00691,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE10-14,ENVCAUSE,ENVCAUSE_ENVCAUSE039
35,UNREGION,2019,1.91486,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE114
ARG,COUNTRY,2019,11.93757,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
15,UNREGION,2019,0.09364,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE039
UNSDG_LAC,UNSDGREGION,2019,2.52466,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE114
SEAR,REGION,2019,0.71326,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE113
GNQ,COUNTRY,2019,3.48889,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
